TF	target	importance
PPARG	FCRL1	15.108537524293698
PBX1	MUC1	13.335372170693171
PPARG	AC099792.1	10.470211635473301
PPARG	FAM102B	9.4919725678084
CEBPB	AJAP1	9.24520801449986
PBX1	SLC44A3	8.734134874008948
HNF1B	LINC01781	8.672823753246913
PPARG	DNM3	8.318853634143876
PPARG	S100A6	8.298821964734117
NR5A2	ORC1	8.19593992306529
CREB1	AL513323.1	8.13118748114222
PRDM16	DNAJB4	7.975643959617761
PRKAA2	PRDM16	7.926105311336378
PBX1	TMEM51	7.7877985210573595
ATF5	RIT1	7.561390091952684
TCF7L2	TP73	7.356856889335618
JUN	TXNIP	7.3219359178212775
CTNNB1	SELL	7.243724451163187
PBX1	HSPG2	7.104159514841883
GADD45A	F3	7.0384450372015115
PPARG	FLG-AS1	7.002398127137106
SMAD2	RUNX3	6.865391181382472
TEAD4	SLAMF7	6.790261243075767
MLXIPL	TP73	6.689780163854481
MLXIPL	C1orf112	6.35518821901185
NFE2L2	AL034417.4	6.300672543953279
MAFK	SGIP1	6.300519102659578
CTNNB1	GBP5	6.122612423714141
PPARG	LINC02607	6.069448748069093
MYC	IGSF21	6.002248377463629
TCF7L2	EPHB2	5.991745140778336
KLF6	KANK4	5.829501222897948
CTNNB1	IGSF21	5.809685317414647
PPARA	ORC1	5.730658220657241
PPARG	F3	5.679204965251555
HNF1A	AL450992.1	5.6426169266771655
GATA4	AK5	5.5388306656872235
CEBPB	IFI44L	5.520398322114158
STAT3	PER3	5.478347312281189
GADD45A	SP3	5.403371479588193
MAFK	SOX4	5.3294337615749745
GATA4	PLA2G2A	5.295073612936957
SOX4	MAFK	5.254931452750466
SMAD2	LINC02606	5.211856112603639
RUNX3	AL136234.1	5.180723823739922
CTNNB1	HSPA6	5.132402559249178
GATA6	FOXA3	5.122198989565831
ATF5	SUCO	5.103155291301418
CEBPB	AC103591.3	5.086945528348806
SP3	ZRANB2-AS2	5.0268520126326335
FOXA3	GATA6	5.0268375569662
KLF6	AL138799.4	5.02384921734398
PPARA	TP73	5.017735065220129
MYC	NFIA-AS2	4.986828614727866
PRDM16	PRKAA2	4.967364422669469
MYC	PRAMEF33	4.947640127384431
STAT3	FCRL1	4.817316365780257
HNF1B	EPHB2	4.816238658082671
PPARG	ZYG11A	4.797322807969005
GATA4	RUNX3	4.761333650252315
HNF1B	AGBL4	4.733219718569663
CTNNB1	MYC	4.709079213472168
FOXA1	CD247	4.707990019902371
FOXA1	PLA2G2A	4.686968417177162
SMAD2	AL591043.2	4.644037101967593
NR1H4	AL591043.2	4.6408348264493
MAFK	SELL	4.598435714477612
ATF5	DPYD-AS1	4.596326295817167
GATA4	CD247	4.579357577303747
PRKAA2	PBX1	4.549062196022402
TBX15	TP53	4.514107277733895
TP53	SPTA1	4.485943029278537
ATF2	KANK4	4.458261262852925
RXRA	FHAD1	4.451066712434956
TEAD1	HNF1B	4.402588772388411
HNF1B	KIRREL1	4.371874962385146
CEBPB	AC119674.1	4.349789861599792
GATA6	SLC9C2	4.334593563950028
MAFG	RXRB	4.327057086962355
TP53	GBP5	4.2885820396810255
TEAD1	KIRREL1	4.284242913778518
PPARG	AL136234.1	4.2627321100531095
RXRA	SLC44A5	4.242721492262811
HNF1B	SLC9C2	4.242164322341973
TCF7L2	FOXA2	4.209964061659966
FOXA1	PKN2-AS1	4.209363710381166
GADD45A	AL139294.1	4.158293215572122
KLF6	ATF3	4.119807712509348
PBX1	ANGPTL3	4.117869853661546
PBX1	WDR78	4.107016269172447
PBX1	PRAMEF33	4.091848526768878
GATA4	AL136234.1	4.085293558974769
RUNX3	MROH9	4.056158646209229
JUN	HSPA6	4.051797111520847
CEBPA	TTLL7	4.043746319201047
CEBPB	DAB1	4.039270779734058
MLXIPL	SPSB1	4.035634001927446
NFE2L2	NEGR1	4.016355636209819
SOX9	AL034417.4	4.005904131561105
E2F3	AK5	3.999826290606625
CEBPB	PDE4B	3.9909675274712915
TEAD1	SLC44A5	3.988960659046686
NFE2L2	PAPPA2	3.973330465917588
CEBPB	CRP	3.934061781688794
PPARG	AK5	3.9304490327395007
TEAD1	FHAD1	3.92255333405951
PPARG	DAB1	3.905423002556981
ATF5	SLC16A1	3.90514203886274
PPARA	SP1	3.8938575065511976
KLF6	FDPS	3.8769169183878835
STAT3	HNF4A	3.8606450981121196
PBX1	DNAJC6	3.832905813294186
MAFG	MYC	3.8247348202087714
SMAD2	TGFBR3	3.8211439024921345
FOXJ3	JUN	3.7974271435981795
SOX4	RAB3B	3.784467512363239
CEBPA	ORC1	3.7703343190105243
SOX4	WDR78	3.767722232253585
HNF4A	EPHB2	3.7589910390701338
SOX9	LRRIQ3	3.752040106511884
PPARG	MAN1C1	3.7463976424051078
GATA4	CRP	3.7460267176052398
STAT3	SP1	3.725057588062782
PBX1	SLC44A5	3.682900693402877
KLF6	AL591043.2	3.675705557962894
MAFK	ATP1A1-AS1	3.620704896146126
PBX1	CREB1	3.6141612465128135
TEAD4	IL12RB2	3.6067661218144504
GATA4	ST6GALNAC3	3.5974719073943775
MAFG	PRDM16	3.591978363100866
HNF1A	NEGR1	3.560050633596082
SOX4	LRRC7	3.557646166703722
GADD45A	S100A6	3.552993849346274
JUN	EFNA1	3.5224805626150775
MLXIPL	PLPP3	3.5214666347277013
ATF3	KLF6	3.5173949743922224
CEBPA	LINC01708	3.504667737747381
SOX4	ATP1A1	3.484701965690207
JUN	CEBPA	3.4759188423683973
MAFK	AC099792.1	3.4743987782893293
CTNNB1	ARHGAP29-AS1	3.4657855343366237
JUN	SPAG17	3.4601418498690797
HNF1B	SPAG17	3.4558579970566123
JUN	ATF3	3.449489636584393
SMAD3	NEGR1	3.4428766768404513
FOXA2	LINC02606	3.422332201219061
STAT3	AJAP1	3.4207645995159623
PBX1	ATP1A1-AS1	3.410464143194252
ATF5	FCRL1	3.4076621418698156
NR1H4	CCDC30	3.4033316847161865
RXRB	FOXA2	3.397684971878504
MLXIPL	MFSD2A	3.3921903661211346
NFE2L2	HMGCS2	3.3906699574347368
FOXA2	SPSB1	3.376133183542456
ATF5	CACHD1	3.368096403081434
KLF6	GADD45A	3.339072996115861
CEBPA	F3	3.334755836584159
NFE2L2	CREB1	3.318283450888824
JUN	AC104459.1	3.3137001958770878
SP3	ORC1	3.30503915495256
CREB1	DAB1	3.2765756523288587
SOX4	KIRREL1	3.273483404168695
FOXA1	LINC01226	3.2584546461149646
HNF1B	CCDC30	3.2483198466834784
HNF1B	CLCA4-AS1	3.2345494774256736
PBX1	KIRREL1	3.228053486009616
HNF1B	FHAD1	3.22431576678205
MAFK	ARHGAP29-AS1	3.2223788390887425
FOXJ3	GBP1	3.2109134298461544
PPARG	MUC1	3.2079753489555545
NFE2L2	GBP1	3.204690336950082
TCF7L2	YAP1	3.2044052342735627
TCF7L2	RUNX3	3.2018297743734787
PBX1	SGIP1	3.2010183960902485
PPARG	IGSF21	3.1935742463503627
PPARG	AL513323.1	3.1920393803522233
TP53	SELL	3.1913075988732476
PPARG	AL034417.2	3.186803474179662
PRDM16	LRRIQ3	3.18551408741138
TCF7L2	MAB21L3	3.183893547209245
TEAD1	HSPG2	3.1814447681185736
RUNX3	CD247	3.1750984135814275
STAT3	PRAMEF10	3.1736764606607757
SOX4	CTNNB1	3.1689322682350882
TBX15	AL138799.4	3.144699582134864
PBX1	SLC9C2	3.1415580739784463
PBX1	LRRIQ3	3.1395535839995112
MAFK	AGBL4	3.1355810295304676
PBX1	FHAD1	3.1350485454012
PRKAA2	MAFG	3.1307213680243335
RUNX3	GATA4	3.1088770155310415
RXRA	PER3	3.098663589688024
PBX1	ROR1	3.0986429286084816
ATF3	JUN	3.093631128596656
HNF1B	PKN2-AS1	3.0921263925961022
STAT3	AC099792.1	3.0873123598348973
PBX1	MROH9	3.0861204982098434
CEBPB	TGFBR3	3.085149630755595
HNF1B	PBX1	3.0811482479350256
STAT3	PRAMEF33	3.074295245002741
MAFK	SLAMF7	3.073538750471636
RXRB	SPTA1	3.059291007816521
PPARG	RASAL2	3.052759995818214
ATF5	MCL1	3.052078379880122
